,questions
10,"{'question': 'Activity launched with deeplink got finished when choosing app to open', 'views': '4 views', 'vote_count': '0', 'post_tag': ['android'], 'time': '2 mins ago', 'asked_by': 'Benaya Rio', 'avatar': '/users/10870696/benaya-rio'}"
11,"{'question': 'My Clickfunnel Optin page is broken after adding a script and css in Tracking CSS - Header Code and Footer code', 'views': '3 views', 'vote_count': '0', 'post_tag': ['scripting'], 'time': '2 mins ago', 'asked_by': 'kunyari email', 'avatar': '/users/14398877/kunyari-email'}"
12,"{'question': 'In a mixed Swift and Objective-C application, is there a way to acknowledge if a collection is being enumerated at runtime?', 'views': '5 views', 'vote_count': '0', 'post_tag': ['objective-c', 'swift', 'cocoa'], 'time': '2 mins ago', 'asked_by': 'Alfonso Tesauro', 'avatar': '/users/942165/alfonso-tesauro'}"
13,"{'question': 'Blanket registration of generic consume filters for response messages in MassTransit?', 'views': '3 views', 'vote_count': '0', 'post_tag': ['masstransit'], 'time': '2 mins ago', 'asked_by': 'AunAun', 'avatar': '/users/3243551/aunaun'}"
14,"{'question': ""Compiler Error on Class Templates - expected initializer before '<' token"", 'views': '9 views', 'vote_count': '0', 'post_tag': ['c++', 'class', 'templates'], 'time': '2 mins ago', 'asked_by': 'benhpark', 'avatar': '/users/14398774/benhpark'}"
15,"{'question': 'Animation problem while replacing fragment, using or not using addToBackStack', 'views': '5 views', 'vote_count': '0', 'post_tag': ['java', 'android', 'android-fragments', 'animation'], 'time': '2 mins ago', 'asked_by': 'sinwindis', 'avatar': '/users/14398615/sinwindis'}"
16,"{'question': 'Unable to Add Additional Fields in Aspnetuser table', 'views': '6 views', 'vote_count': '0', 'post_tag': ['asp.net-core', 'ef-code-first', 'asp.net-identity'], 'time': '2 mins ago', 'asked_by': 'user14398861', 'avatar': '/users/14398861/user14398861'}"
17,"{'question': 'Logging system that outputs causal chains in c++', 'views': '7 views', 'vote_count': '0', 'post_tag': ['c++', 'logging', 'causality'], 'time': '3 mins ago', 'asked_by': 'Oded Ben Noon', 'avatar': '/users/12640167/oded-ben-noon'}"
18,"{'question': 'Debugging and Loglevels for Kubernetes Helm', 'views': '5 views', 'vote_count': '0', 'post_tag': ['kubernetes', 'kubernetes-helm'], 'time': '3 mins ago', 'asked_by': 'Matthias M', 'avatar': '/users/1909531/matthias-m'}"
19,"{'question': 'Can the update statement in for loop work with both postfix with prefix? (i++ and ++i)', 'views': '15 views', 'vote_count': '-1', 'post_tag': ['c', 'for-loop'], 'time': '3 mins ago', 'asked_by': 'LordRishav', 'avatar': '/users/14388115/lordrishav'}"
20,"{'question': 'how to write php code to generate enrollment number? [closed]', 'views': '12 views', 'vote_count': '-3', 'post_tag': ['php', 'mysql'], 'time': '3 mins ago', 'asked_by': 'Shivani Pandey', 'avatar': '/users/14398862/shivani-pandey'}"
21,"{'question': 'How to debug native Python memory leaks?', 'views': '10 views', 'vote_count': '-1', 'post_tag': ['python', 'numpy', 'tensorflow', 'stable-baselines'], 'time': '4 mins ago', 'asked_by': 'iirekm', 'avatar': '/users/469153/iirekm'}"
22,"{'question': 'Is there a way to add conditions to an if statement in recursion using java?', 'views': '14 views', 'vote_count': '0', 'post_tag': ['java', 'recursion'], 'time': '4 mins ago', 'asked_by': 'Joseplh', 'avatar': '/users/14398660/joseplh'}"
23,"{'question': 'PHP - Content type header setup not reflecting in the response', 'views': '6 views', 'vote_count': '0', 'post_tag': ['php', 'api', 'rest', 'mime-types'], 'time': '4 mins ago', 'asked_by': 'Sagar', 'avatar': '/users/1820087/sagar'}"
24,"{'question': 'Access Exchange via PHP', 'views': '7 views', 'vote_count': '0', 'post_tag': ['php', 'exchange-server', 'exchangewebservices'], 'time': '4 mins ago', 'asked_by': 'Stef', 'avatar': '/users/7562160/stef'}"
25,"{'question': 'OXID UnitTests excluding a folder', 'views': '4 views', 'vote_count': '0', 'post_tag': ['php', 'unit-testing', 'oxid'], 'time': '4 mins ago', 'asked_by': 'Gunnar Polte', 'avatar': '/users/14398854/gunnar-polte'}"
26,"{'question': 'How to use custom directive in angularJs ng-disabled?', 'views': '6 views', 'vote_count': '0', 'post_tag': ['angularjs', 'angularjs-directive', 'angularjs-ng-disabled'], 'time': '4 mins ago', 'asked_by': 'chiranjiv', 'avatar': '/users/10432699/chiranjiv'}"
27,"{'question': 'Barcode Printing Using .Net', 'views': '5 views', 'vote_count': '0', 'post_tag': ['.net', 'printing', 'label', 'size', 'barcode'], 'time': '4 mins ago', 'asked_by': 'Siddhi', 'avatar': '/users/11877443/siddhi'}"
28,"{'question': 'Crashes with out comprehensible Stacktrace', 'views': '5 views', 'vote_count': '0', 'post_tag': ['android', 'android-webview'], 'time': '5 mins ago', 'asked_by': 'Lars', 'avatar': '/users/2701206/lars'}"
29,"{'question': 'creating table with colspan & rowspan attributes', 'views': '5 views', 'vote_count': '0', 'post_tag': ['html-table'], 'time': '5 mins ago', 'asked_by': 'triel', 'avatar': '/users/14398834/triel'}"
30,"{'question': 'installer command not found in linux system', 'views': '5 views', 'vote_count': '0', 'post_tag': ['linux', 'sudo'], 'time': '5 mins ago', 'asked_by': 'Vidhya Sampath', 'avatar': '/users/7761811/vidhya-sampath'}"
31,"{'question': 'The fastest way to get huge array of random numbers', 'views': '11 views', 'vote_count': '0', 'post_tag': ['c#', 'unity3d', 'probability-theory'], 'time': '5 mins ago', 'asked_by': 'HedgehogNSK', 'avatar': '/users/9043688/hedgehognsk'}"
32,"{'question': 'Sending SMS without SMS Gateway With C#', 'views': '8 views', 'vote_count': '-1', 'post_tag': ['c#', 'asp.net', 'sms'], 'time': '5 mins ago', 'asked_by': 'Raj', 'avatar': '/users/7275982/raj'}"
33,"{'question': 'Not able to prevent multiple concurrent login from the same user in spring security with spring boot', 'views': '4 views', 'vote_count': '0', 'post_tag': ['java', 'spring', 'spring-boot', 'spring-security'], 'time': '5 mins ago', 'asked_by': 'Ankush Tiwari', 'avatar': '/users/14113060/ankush-tiwari'}"
34,"{'question': 'oracle database link for data replication, resources and perfomance', 'views': '2 views', 'vote_count': '0', 'post_tag': ['database', 'oracle', 'hyperlink', 'replication'], 'time': '6 mins ago', 'asked_by': 'partinis', 'avatar': '/users/5120813/partinis'}"
35,"{'question': 'Add id to Tab field @material-ui/core', 'views': '4 views', 'vote_count': '0', 'post_tag': ['material-ui'], 'time': '6 mins ago', 'asked_by': 'Andrey Radkevich', 'avatar': '/users/10774102/andrey-radkevich'}"
36,"{'question': 'Python: N-Puzzle search cost/heuristics', 'views': '3 views', 'vote_count': '0', 'post_tag': ['python-3.x', 'search', 'a-star', 'heuristics', 'best-first-search'], 'time': '6 mins ago', 'asked_by': 'jsd191', 'avatar': '/users/13893913/jsd191'}"
37,"{'question': 'Border in HTML Table using Dash Framework', 'views': '7 views', 'vote_count': '0', 'post_tag': ['python-3.x', 'html-table', 'border', 'dashboard', 'plotly-dash'], 'time': '7 mins ago', 'asked_by': 'prateek_pro', 'avatar': '/users/14157341/prateek-pro'}"
38,"{'question': 'Reduce Space Between BAR using Matplotlib Python', 'views': '6 views', 'vote_count': '0', 'post_tag': ['python', 'matplotlib'], 'time': '7 mins ago', 'asked_by': 'Zaved Ali', 'avatar': '/users/13432689/zaved-ali'}"
39,"{'question': 'Could anyone help me deploy laravel project to VPS host?', 'views': '6 views', 'vote_count': '0', 'post_tag': ['laravel', 'deployment'], 'time': '7 mins ago', 'asked_by': 'unknown', 'avatar': '/users/14311567/unknown'}"
40,"{'question': 'Api call issue with Retrofit for kotlin using MVP', 'views': '10 views', 'vote_count': '0', 'post_tag': ['java', 'android', 'kotlin', 'retrofit2'], 'time': '8 mins ago', 'asked_by': 'Arjun saini', 'avatar': '/users/4864943/arjun-saini'}"
41,"{'question': 'Webpacker (or Webpack) environment.js vs application.js', 'views': '4 views', 'vote_count': '0', 'post_tag': ['ruby-on-rails', 'webpack', 'webpacker'], 'time': '8 mins ago', 'asked_by': 'Vikram Sharma', 'avatar': '/users/2781238/vikram-sharma'}"
42,"{'question': 'Keyword Categorization Model', 'views': '4 views', 'vote_count': '0', 'post_tag': ['python', 'python-3.x', 'keyword', 'keyword-search', 'mlmodel'], 'time': '8 mins ago', 'asked_by': 'Ashiq', 'avatar': '/users/9571412/ashiq'}"
43,"{'question': 'What is the reason that the spring-boot-maven-plugin reruns a full build cycle again when I trigger the build-image goal?', 'views': '2 views', 'vote_count': '0', 'post_tag': ['spring-boot', 'maven', 'spring-boot-maven-plugin'], 'time': '8 mins ago', 'asked_by': 'Luckl507', 'avatar': '/users/1863139/luckl507'}"
44,"{'question': 'Unban Command Discord.js V12', 'views': '4 views', 'vote_count': '0', 'post_tag': ['javascript', 'node.js', 'discord', 'discord.js'], 'time': '8 mins ago', 'asked_by': 'Lallu', 'avatar': '/users/14028695/lallu'}"
45,"{'question': 'React native navigation v5 navigate tab inside bottomBar', 'views': '5 views', 'vote_count': '0', 'post_tag': ['react-native', 'react-navigation', 'react-native-navigation'], 'time': '8 mins ago', 'asked_by': 'suprandr', 'avatar': '/users/598578/suprandr'}"
46,"{'question': 'calling SCP returns ERRORLEVEL 0 even the message is “The process cannot access the file because it is being used by another process”', 'views': '6 views', 'vote_count': '0', 'post_tag': ['batch-file', 'cmd', 'errorlevel'], 'time': '9 mins ago', 'asked_by': 'LSeasyAccess', 'avatar': '/users/14398837/lseasyaccess'}"
47,"{'question': 'AppStore Submission Appstore connect issue', 'views': '4 views', 'vote_count': '0', 'post_tag': ['ios', 'swift', 'iphone', 'app-store-connect', 'xcode11'], 'time': '9 mins ago', 'asked_by': 'Jagadeesh K', 'avatar': '/users/5176450/jagadeesh-k'}"
48,"{'question': 'Is there a way to invoke dialogflow agent only when certain keywords are mentioned?', 'views': '4 views', 'vote_count': '0', 'post_tag': ['node.js', 'dialogflow-es', 'chatbot'], 'time': '10 mins ago', 'asked_by': 'prajwal', 'avatar': '/users/14398828/prajwal'}"
49,"{'question': 'Esper / NEsper EPL event statement', 'views': '3 views', 'vote_count': '0', 'post_tag': ['complex-event-processing', 'esper', 'nesper'], 'time': '10 mins ago', 'asked_by': 'Narsu', 'avatar': '/users/14332944/narsu'}"
